Mac OS X,,El Capitan,,,,,,Subversion,,,,,Matlab,R,Python,,,,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Earth and Related Environmental Sciences,,,,Automated testing,,Modular code development,,,2018-01-18 15:09:37,2018-01-18 15:15:10
Windows,,windows 10,,I don't use version control but I know what it is,,,,,,,,,Matlab,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,Yes,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Social and Economic Geography,Git and version control,Jupyter notebooks,,Automated testing,,Modular code development,,,2018-01-18 13:39:15,2018-01-18 13:43:25
Windows,,Windows 7,,,,Git,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Git and version control,Jupyter notebooks,,,CMake,Modular code development,,Documentation,2018-01-16 10:21:39,2018-01-16 10:35:43
Windows,,Windows 10,,I don't use version control but I know what it is,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",,,,GitHub,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Earth and Related Environmental Sciences,Git and version control,Jupyter notebooks,Integrated development environments,,,,,,2018-01-15 19:00:48,2018-01-15 19:04:35
Windows,,Version	10.0.15063 Build 15063,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,,,,,,,"None, but I want to learn",,,,GitHub,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Civil Engineering,Git and version control,,,Automated testing,CMake,Modular code development,Software licensing,Documentation,2018-01-15 16:21:01,2018-01-15 16:38:12
Windows,,Windows 10,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,,,,,,,,Not relevant to my project(s),,,,GitLab,,,,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Earth and Related Environmental Sciences,Git and version control,Jupyter notebooks,,,,,,,2018-01-15 14:57:09,2018-01-15 15:00:43
Windows,,Windows 10,,,,Git,,,,,,,Matlab,R,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,No and I don't know what it is,Other,Git and version control,,Integrated development environments,Automated testing,,Modular code development,,,2018-01-15 10:56:33,2018-01-15 11:04:46
Windows,,Windows 8.1,I don't use version control and I don't know what it is,,,,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Environmental Engineering,,Jupyter notebooks,,,,Modular code development,Software licensing,Documentation,2018-01-15 10:57:50,2018-01-15 11:01:04
Linux,,Linux Mint,,,,Git,,,,,,,Matlab,R,Python,,C,C++,,,,,,,Yes,No but I know what it is,Yes,"Yes, I use either Travis or Jenkins or both",,Comments in the source code,,Wiki,,"Read the Docs",,,,,,,,Makefiles,,,,,,,GitHub,GitLab,,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,,,,,,Modular code development,Software licensing,,2018-01-15 10:47:53,2018-01-15 10:56:00
Windows,,10,,I don't use version control but I know what it is,,,,,,,,,Matlab,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Other,Git and version control,,Integrated development environments,Automated testing,,Modular code development,,Documentation,2018-01-15 10:45:02,2018-01-15 10:53:13
Linux,,Manjaro (Arch based),,,,Git,,,,,,,Matlab,,Python,,,,,,,,,,Yes,No but I know what it is,Yes,"Yes, I use either Travis or Jenkins or both",,Comments in the source code,,,RST/Sphinx,"Read the Docs",,,HMTL,,README files,,,,,,"None, but I want to learn",,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Earth and Related Environmental Sciences,Git and version control,,,,,Modular code development,Software licensing,Documentation,2018-01-15 10:46:44,2018-01-15 10:50:32
Windows,,Windows 10,,I don't use version control but I know what it is,,,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,No and I don't know what it is,Other,Git and version control,Jupyter notebooks,,,,Modular code development,,Documentation,2018-01-15 10:44:22,2018-01-15 10:50:14
Windows,,10,,I don't use version control but I know what it is,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Environmental Engineering,Git and version control,,Integrated development environments,,,Modular code development,,,2018-01-15 10:44:12,2018-01-15 10:47:45
