Linux,,Ubuntu 16.04,,,,Git,,,,,,,,R,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Git and version control,,,Automated testing,CMake,Modular code development,,Documentation,,2018-02-20 10:18:56,2018-02-20 10:24:56
Linux,,Ubuntu 14.04,,,,Git,,,,,,,,,,,,,,,,,,Bash,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,,Not relevant to my project(s),,,,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Health Sciences,Git and version control,,,Automated testing,,Modular code development,,Documentation,Reproducible research,2018-02-20 10:18:23,2018-02-20 10:24:14
Linux,,Ubuntu 16.04,,,,Git,,,,,,,Matlab,,Python,,C,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,CMake,Makefiles,,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Computer and Information Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Reproducible research,2018-02-19 20:11:33,2018-02-19 20:18:26
Linux,,Ubuntu 14.04,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,C++,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,CMake,Makefiles,,,,,,,,,,,Aalto version,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,,,Automated testing,CMake,Modular code development,,Documentation,Reproducible research,2018-02-19 20:02:30,2018-02-19 20:11:16
Mac OS X,,centos07,I don't use version control and I don't know what it is,,,,,,,,,,,R,Python,,,,,,,,,Linux Shell scripting,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,,Jupyter notebooks,Integrated development environments,Automated testing,,,,Documentation,,2018-02-14 10:18:17,2018-02-14 10:25:29
Linux,,Linux Mint,,I don't use version control but I know what it is,,,,,,,,,,,Python,,,,,,,,,,No but I know what it is,No but I know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Chemical Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Reproducible research,2018-02-14 09:49:59,2018-02-14 09:53:54
Mac OS X,,MacOSX,,,,Git,,,,,,,,,Python,,C,C++,,,,,,,No but I know what it is,No but I know what it is,Yes,"Yes, I use either Travis or Jenkins or both",,,,Wiki,,,,,,,,,,,,,,Not relevant to my project(s),,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Computer and Information Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,,,,2018-02-14 08:39:40,2018-02-14 09:14:55
Mac OS X,,macOS Sierra 10.12.2,,,,Git,,,,,,,,R,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,README files,,,,,,"None, but I want to learn",,,,GitHub,,,Redmine,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,,,,Automated testing,,,,,Reproducible research,2018-02-07 10:40:01,2018-02-07 10:47:22
Windows,,Windows 10,,,,Git,,,,,,,,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,Wiki,,,,,,Markdown,README files,,,,,,"None, but I want to learn",Not relevant to my project(s),,,GitHub,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,Git and version control,Jupyter notebooks,,Automated testing,CMake,Modular code development,,Documentation,,2018-02-07 08:15:25,2018-02-07 08:21:24
Linux,,Ubuntu,,,,Git,,,,,,,,,,,,,,Fortran 90+,,,,,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,,,,,Bitbucket,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,,2018-01-31 09:51:28,2018-01-31 09:58:01
Windows,,,,,,Git,,,,,,,,R,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Other,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Reproducible research,2018-01-30 10:42:48,2018-01-30 10:48:51
Linux,,Fedora,,I don't use version control but I know what it is,,,,,,,,,,,Python,,C,C++,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Git and version control,Jupyter notebooks,,Automated testing,CMake,Modular code development,,,,2018-01-26 08:35:09,2018-01-26 09:01:47
Linux,,17.10,I don't use version control and I don't know what it is,,,,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,,,,,,,,,,,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Health Sciences,Git and version control,Jupyter notebooks,Integrated development environments,,,,,Documentation,Reproducible research,2018-01-23 20:50:28,2018-01-23 20:57:07
Windows,,Windows 10,,,,Git,,,,,,,,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",Not relevant to my project(s),,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,,,,Automated testing,,Modular code development,,,Reproducible research,2018-01-22 13:46:11,2018-01-22 14:10:31
