What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,None or not applicable to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,Please specify your main <strong>academic discipline</strong>.,Start Date (UTC),Submit Date (UTC)
Linux,,,,,Git,,,,,,,Matlab,,Python,,C,C++,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,Doxygen,,,,,,,,,,CMake,Makefiles,,Autotools,,,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,Computer and Information Sciences,2016-10-31 11:37:15,2016-10-31 11:44:56
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,Matlab,R,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,I have written my own simple programs,Biological Sciences,2016-10-31 11:32:43,2016-10-31 11:37:05
Windows,,,,,Git,Mercurial,Subversion,CVS,,,,,,Python,,C,C++,Fortran 77,Fortran 90+,,,,,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,,,,,,,,,,CMake,Makefiles,,Autotools,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Physical Sciences,2016-10-31 11:28:43,2016-10-31 11:32:18
Mac OS X,,,,,Git,,,,,,,,R,Python,,,,,,,,,"javascript, html5 tech",No but I know what it is,No but I know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,None or not applicable to my project(s),,,GitHub,GitLab,Bitbucket,,,I have written many small codes and/or contributed to large complex software,Computer and Information Sciences,2016-10-31 11:20:05,2016-10-31 11:23:08
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments",Clinical Medicine,2016-10-31 11:17:01,2016-10-31 11:21:53
Mac OS X,,,,,Git,,,,,,,,R,Python,Perl,,,,,,,,,Yes,Yes,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,,,"Read the Docs",,PDF,HMTL,Markdown,README files,,,,,,None or not applicable to my project(s),,,GitHub,,Bitbucket,,,I have written many small codes and/or contributed to large complex software,Biological Sciences,2016-10-28 11:15:52,2016-10-28 11:21:17
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,,,Python,,,,,,,,,,Yes,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,Makefiles,,,,,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments",Other Engineering and Technologies,2016-10-27 13:06:41,2016-10-27 13:27:22
Linux,,,I don't use version control but I know what it is,,,,,,,,,,,,,C,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,Makefiles,,,,,I'm not using a web-based repository,,,,,,I have written my own simple programs,Chemical Sciences,2016-10-27 12:38:30,2016-10-27 12:41:21
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,,R,,,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,CMake,,,,,,I'm not using a web-based repository,,,,,,I have written my own simple programs,Medical Biotechnology,2016-10-27 09:30:56,2016-10-27 09:34:13
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,,GitHub,,,,,I have written my own simple programs,Clinical Medicine,2016-10-27 08:55:22,2016-10-27 08:59:18
Linux,,,I don't use version control but I know what it is,,,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,I have written my own simple programs,Physical Sciences,2016-10-27 08:11:54,2016-10-27 08:19:08
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No but I know what at least one of them does,,,,Wiki,,,,,,Markdown,README files,,,,,,None or not applicable to my project(s),,,GitHub,,Bitbucket,Redmine,,I have written my own simple programs,"Electrical Engineering, Electronic Engineering, Information Engineering",2016-10-25 18:10:06,2016-10-25 18:12:27
Windows,,,,,Git,,,,,,,Matlab,,Python,,,,,Fortran 90+,,,,,Yes,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,Mathematics,2016-10-20 12:24:40,2016-10-20 12:31:16
