Mac OS X,,10.11.6,,,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Physical Sciences,2017-03-23 08:30:22,2017-03-23 08:39:19
Mac OS X,,10.10.5,,,,Git,,,,,,,Matlab,R,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,README files,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Mathematics,2017-03-22 14:08:35,2017-03-22 14:12:54
Mac OS X,,10.11.6,,,,Git,,,,,,,,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,CMake,,,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Chemical Sciences,2017-03-22 13:19:32,2017-03-22 13:27:35
Linux,,Ubuntu 15.10 or later,,,,Git,Mercurial,,,,,,,,Python,,,C++,Fortran 77,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,CMake,,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Chemical Sciences,2017-03-22 08:49:28,2017-03-22 09:00:56
Linux,,opsenSuse,,I don't use version control but I know what it is,,,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,2017-03-21 17:35:43,2017-03-21 17:42:28
Mac OS X,,Sierra,,,,Git,,,,,,,,,,,,C++,,,,,,,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,Doxygen,,,"Read the Docs",,,,,,,CMake,,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,2017-03-21 12:36:22,2017-03-21 12:44:33
Mac OS X,,Mac OS Sierra 10.12.3,,,,Git,,,,,,,,,Python,,,,Fortran 77,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,Yes,No but I know what at least one of them does,No documentation,Comments in the source code,,,,"Read the Docs",,,,,README files,,CMake,Makefiles,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Chemical Sciences,2017-03-21 09:27:25,2017-03-21 09:35:44
Linux,,"Ubuntu, 16.04",,,,Git,,,,,,,Matlab,,Python,,,,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Earth and Related Environmental Sciences,2017-03-21 08:32:39,2017-03-21 08:36:35
Linux,,Ubuntu,,,,Git,,,,,,,Matlab,,Python,,C,,,,Julia,,,,Yes,No but I know what it is,No but I know what it is,"Yes, I use either Travis or Jenkins or both",,Comments in the source code,,,RST/Sphinx,,,,,Markdown,README files,,,Makefiles,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)","Electrical Engineering, Electronic Engineering, Information Engineering",2017-03-21 08:32:18,2017-03-21 08:36:27
Windows,,Windows 7,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,2017-03-21 08:28:47,2017-03-21 08:33:57
Mac OS X,,newest,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Physical Sciences,2017-03-21 08:27:12,2017-03-21 08:33:01
Mac OS X,,OS X El Capitain,,,,Git,,,,,,,,,Python,,C,C++,Fortran 77,Fortran 90+,,,,,No but I know what it is,No but I know what it is,Yes,No but I know what at least one of them does,,Comments in the source code,Doxygen,,,"Read the Docs",,,,,,,CMake,,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Chemical Sciences,2017-03-21 08:18:15,2017-03-21 08:21:50
Linux,,Linux stallo-vnc-4.local 2.6.32-642.6.2.el6.x86_64 #1 SMP Wed Oct 26 06:52:09 UTC 2016 x86_64 GNU/Linux,,,,Git,,Subversion,,,,,Matlab,,,,,C++,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,Wiki,,,,,,,,,,Makefiles,,,,,,,,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,2017-03-21 06:55:38,2017-03-21 07:08:51
Linux,,Ubuntu,,,,Git,,Subversion,CVS,,,,,,Python,,,C++,Fortran 77,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,Comments in the source code,,Wiki,,,,PDF,,Markdown,,,CMake,Makefiles,,,,,,,GitHub,,,,,I am an expert,I do not know what most of these commands do,No and I don't know what it is,Earth and Related Environmental Sciences,2017-03-21 01:05:50,2017-03-21 01:20:46
