,Gender,Affiliation
0,Female,University of Helsinki
1,Male,Aalto (Comnet)
2,Male,Helsinki University 
3,Male,"Mechanical Engineering, Aalto University"
4,Male,"QCD Labs, Dept. of Applied Physics, Aalto University"
5,Female,"Aalto University, CS department"
6,Male,"Research Group of Electromechanics, Department of Electrical Engineering and Automation, Aalto University"
7,Male,Aalto University
8,Female,"Master student in Life science program at Aalto University, Research assistance in KEPACO research group "
9,Male,"Aalto University, Nanospin"
10,Female,"Aalto University, School of Science, Dept of applied Science"
11,Male,Aalto University
12,Male,University of Jyväskylä
13,Male,"Department of Applied Physics, Aalto University School of Science"
14,Female,"Aalto university, CS department"
15,Male,University of Turku
16,Male,"FIMM, metabolomics"
17,Prefer not to say,"Aalto University, Department of Applied Physics"
18,Male,"study in MachineLearningForBigData group, Computer Science department, Aalto University"
19,Female,"Active Matter Group, Department of Applied Physics, Aalto University"
20,Male,Aalto University
21,Male,Aalto University
22,Male,Aalto University
23,Female,Helsinki University 
24,Male,Lappeenranta University of Technology 
25,Male,"Aalto University, Department of Physics, Antimatter and Nuclear Engineering Group"
26,Female,Helsinki University 
27,Male,Aalto University
28,Female,"Pico group, Department of Applied Physics, Aalto University, Finland"
29,Male,"KEPACO, Computer Science, School of Science, Aalto Yliopisto"
30,Male,"Department of computer science, Aalto university"
31,Female,Aalto uni
32,Female,"Aalto university, department of computer science "
33,Female,Aalto University
34,Male,"CSB group, CS department, School of Science, Aalto university"
35,Male,"FIMM, Aittokallio group  "
36,Female,Aalto University and the Institute for Molecular Medicine Finland (FIMM)
37,Male,"FIMM, university of helsinki"
38,Male,University of Jyväskylä
39,Male,Aalto
