,Affiliation
0,
1,IRF
2,Lulea University of Technology
3,Swedish Institute of Space Physics
4,EISCAT
5,
6,Swedish Institute of Space Physics
7,
8,
9,
10,EISCAT Scientific Association
11,Arctic University of Tromso
12,Eiscat
13,IRF
14,IRF
15,IRF
16,
17,
18,Swedish Institute of Space Physics
19,IRF
20,Swedish Institute of Space Physics
21,
22,
23,
24,KTH Royal Institute of Technology
25,Swedish Institute of Space Physics
26,IRF
27,
28,
29,IRF
30,IRF
31,
32,IRF
33,EISCAT
34,NeIC
35,IRF
36,IRF
37,
